size,edition,new_sku_count,categories,example_design,price_vnd,price_usd,note
150 × 150 mm,Outdoor,471,"Lifesaving Signs (LSS/LSA); Means of Escape Signs (MES); Emergency Equipment Signs (EES); Fire-Fighting Equipment Signs (FES / FFE); Fire-Fighting Control Symbols (FCS); Mandatory Signs (MSS); General Shipboard / Port & Leisure Signs; Marine Terminal & Airport Signs (ICAO 9363); Prohibition Signs (PSS); Warning Signs (WSS)",Large lifejacket,540000,20.77,pre-filled from website price for this size (86 SKUs)
150 × 150 mm,Standard,471,"Lifesaving Signs (LSS/LSA); Means of Escape Signs (MES); Emergency Equipment Signs (EES); Fire-Fighting Equipment Signs (FES / FFE); Fire-Fighting Control Symbols (FCS); Mandatory Signs (MSS); General Shipboard / Port & Leisure Signs; Marine Terminal & Airport Signs (ICAO 9363); Prohibition Signs (PSS); Warning Signs (WSS)",Large lifejacket,74000,2.85,pre-filled from website price for this size (86 SKUs)
300 × 100 mm,Outdoor,188,"Means of Escape Signs (MES); Emergency Equipment Signs (EES); Fire-Fighting Equipment Signs (FES / FFE); Mandatory Signs (MSS); General Shipboard / Port & Leisure Signs; Prohibition Signs (PSS); Warning Signs (WSS)",Safe for entry,1250000,48.08,"pre-filled from website price for this size (18 SKUs); 2 other price(s) also used on the site - check"
300 × 100 mm,Standard,188,"Means of Escape Signs (MES); Emergency Equipment Signs (EES); Fire-Fighting Equipment Signs (FES / FFE); Mandatory Signs (MSS); General Shipboard / Port & Leisure Signs; Prohibition Signs (PSS); Warning Signs (WSS)",Safe for entry,99000,3.81,"pre-filled from website price for this size (26 SKUs); 2 other price(s) also used on the site - check"
150 × 200 mm,Outdoor,153,"Emergency Equipment Signs (EES); Mandatory Signs (MSS); Combination Signs; Prohibition Signs (PSS); Warning Signs (WSS)",First aid,720000,27.70,ESTIMATE from website prices (area-based) - replace with official price
150 × 200 mm,Standard,153,"Emergency Equipment Signs (EES); Mandatory Signs (MSS); Combination Signs; Prohibition Signs (PSS); Warning Signs (WSS)",First aid,99000,3.81,ESTIMATE from website prices (area-based) - replace with official price
250 × 250 mm,Outdoor,63,Hazard Signs,"Hazard labelling symbol - Class 1 - Explosive Div 1.1, 1.2 & 1.3",1260000,48.48,ESTIMATE from website prices (area-based) - replace with official price
250 × 250 mm,Standard,63,Hazard Signs,"Hazard labelling symbol - Class 1 - Explosive Div 1.1, 1.2 & 1.3",173000,6.66,ESTIMATE from website prices (area-based) - replace with official price
330 × 475 mm,Outdoor,59,Safety Posters,"Lifeboat launching, open/semi-enclosed",2180000,83.88,ESTIMATE from website prices (area-based) - replace with official price
330 × 475 mm,Standard,59,Safety Posters,"Lifeboat launching, open/semi-enclosed",299000,11.50,ESTIMATE from website prices (area-based) - replace with official price
75 × 140 mm,Outdoor,26,Temporary Tie Tags,Caution,420000,16.16,ESTIMATE from website prices (area-based) - replace with official price
75 × 140 mm,Standard,26,Temporary Tie Tags,Caution,57000,2.19,ESTIMATE from website prices (area-based) - replace with official price
200 × 300 mm,Outdoor,23,Prohibition Signs (PSS),Do not drink alcohol,1240000,47.71,ESTIMATE from website prices (area-based) - replace with official price
200 × 300 mm,Standard,23,Prohibition Signs (PSS),Do not drink alcohol,170000,6.54,ESTIMATE from website prices (area-based) - replace with official price
300 × 200 mm,Outdoor,20,"Combination Signs; Prohibition Signs (PSS)","Danger explosion risk, in the event of a fire remove cylinders to a safe place",1240000,47.71,ESTIMATE from website prices (area-based) - replace with official price
300 × 200 mm,Standard,20,"Combination Signs; Prohibition Signs (PSS)","Danger explosion risk, in the event of a fire remove cylinders to a safe place",170000,6.54,ESTIMATE from website prices (area-based) - replace with official price
300 × 300 mm,Outdoor,16,Combination Signs,Machinery space,1610000,61.93,pre-filled from website price for this size (2 SKUs)
300 × 300 mm,Standard,16,Combination Signs,Machinery space,210000,8.08,pre-filled from website price for this size (2 SKUs)
75 × 150 mm,Outdoor,13,Fire-Fighting Equipment Signs (FES / FFE),Supplementary sign - arrow (red),380000,14.62,pre-filled from website price for this size (16 SKUs)
75 × 150 mm,Standard,13,Fire-Fighting Equipment Signs (FES / FFE),Supplementary sign - arrow (red),57000,2.19,pre-filled from website price for this size (16 SKUs)
100 × 200 mm,Outdoor,12,Fire-Fighting Equipment Signs (FES / FFE),Wet chemical fire extinguisher,690000,26.54,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
100 × 200 mm,Standard,12,Fire-Fighting Equipment Signs (FES / FFE),Wet chemical fire extinguisher,74000,2.85,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
100 × 100 mm,Outdoor,7,Hazard Signs,Hazard labelling symbol - Flammable,430000,16.54,pre-filled from website price for this size (2 SKUs)
100 × 100 mm,Standard,7,Hazard Signs,Hazard labelling symbol - Flammable,57000,2.19,pre-filled from website price for this size (2 SKUs)
210 × 297 mm,Outdoor,7,Safety Posters,Fire extinguisher types,1260000,48.48,ESTIMATE from website prices (area-based) - replace with official price
210 × 297 mm,Standard,7,Safety Posters,Fire extinguisher types,173000,6.66,ESTIMATE from website prices (area-based) - replace with official price
100 × 300 mm,Outdoor,6,"Means of Escape Signs (MES); Fire-Fighting Equipment Signs (FES / FFE)",Pull with backward arrow,1250000,48.08,"pre-filled from website price for this size (18 SKUs); 2 other price(s) also used on the site - check"
100 × 300 mm,Standard,6,"Means of Escape Signs (MES); Fire-Fighting Equipment Signs (FES / FFE)",Pull with backward arrow,99000,3.81,"pre-filled from website price for this size (26 SKUs); 2 other price(s) also used on the site - check"
400 × 150 mm,Outdoor,6,"Lifesaving Signs (LSS/LSA); Means of Escape Signs (MES)",Deck,1490000,57.31,pre-filled from website price for this size (15 SKUs)
400 × 150 mm,Standard,6,"Lifesaving Signs (LSS/LSA); Means of Escape Signs (MES)",Deck,170000,6.54,pre-filled from website price for this size (15 SKUs)
25 × 50 mm,Outdoor,4,General Shipboard / Port & Leisure Signs,"Lock status, security levels 1&2 unlocked",420000,16.16,ESTIMATE from website prices (area-based) - replace with official price
25 × 50 mm,Standard,4,General Shipboard / Port & Leisure Signs,"Lock status, security levels 1&2 unlocked",57000,2.19,ESTIMATE from website prices (area-based) - replace with official price
150 × 100 mm,Outdoor,3,"Fire-Fighting Equipment Signs (FES / FFE); General Shipboard / Port & Leisure Signs",Fire extinguisher maintenance record,480000,18.47,ESTIMATE from website prices (area-based) - replace with official price
150 × 100 mm,Standard,3,"Fire-Fighting Equipment Signs (FES / FFE); General Shipboard / Port & Leisure Signs",Fire extinguisher maintenance record,66000,2.54,ESTIMATE from website prices (area-based) - replace with official price
200 × 150 mm,Outdoor,3,"Mandatory Signs (MSS); General Shipboard / Port & Leisure Signs",Rescue boat launching procedure,720000,27.70,ESTIMATE from website prices (area-based) - replace with official price
200 × 150 mm,Standard,3,"Mandatory Signs (MSS); General Shipboard / Port & Leisure Signs",Rescue boat launching procedure,99000,3.81,ESTIMATE from website prices (area-based) - replace with official price
200 × 250 mm,Outdoor,3,Mandatory Signs (MSS),Dangerous machine safety instructions,1220000,46.94,ESTIMATE from website prices (area-based) - replace with official price
200 × 250 mm,Standard,3,Mandatory Signs (MSS),Dangerous machine safety instructions,167000,6.43,ESTIMATE from website prices (area-based) - replace with official price
297 × 210 mm,Outdoor,3,Safety Posters,Drugs warning notice,1260000,48.48,ESTIMATE from website prices (area-based) - replace with official price
297 × 210 mm,Standard,3,Safety Posters,Drugs warning notice,173000,6.66,ESTIMATE from website prices (area-based) - replace with official price
297 × 420 mm,Outdoor,3,Safety Posters,Wheelhouse poster,1870000,71.95,ESTIMATE from website prices (area-based) - replace with official price
297 × 420 mm,Standard,3,Safety Posters,Wheelhouse poster,256000,9.85,ESTIMATE from website prices (area-based) - replace with official price
400 × 300 mm,Outdoor,3,Fire-Fighting Equipment Signs (FES / FFE),Fire plans,1820000,70.03,ESTIMATE from website prices (area-based) - replace with official price
400 × 300 mm,Standard,3,Fire-Fighting Equipment Signs (FES / FFE),Fire plans,250000,9.62,ESTIMATE from website prices (area-based) - replace with official price
100 × 150 mm,Outdoor,2,Hazard Signs,Hazard labelling symbol - Orientation label - Black,480000,18.47,ESTIMATE from website prices (area-based) - replace with official price
100 × 150 mm,Standard,2,Hazard Signs,Hazard labelling symbol - Orientation label - Black,66000,2.54,ESTIMATE from website prices (area-based) - replace with official price
150 × 105 mm,Outdoor,2,Safety Posters,Drugs warning notice,490000,18.85,ESTIMATE from website prices (area-based) - replace with official price
150 × 105 mm,Standard,2,Safety Posters,Drugs warning notice,67000,2.58,ESTIMATE from website prices (area-based) - replace with official price
475 × 330 mm,Outdoor,2,Safety Posters,Required boarding arrangements for pilots,2180000,83.88,ESTIMATE from website prices (area-based) - replace with official price
475 × 330 mm,Standard,2,Safety Posters,Required boarding arrangements for pilots,299000,11.50,ESTIMATE from website prices (area-based) - replace with official price
148 × 210 mm,Outdoor,1,Safety Posters,Solas card (double sided),760000,29.24,ESTIMATE from website prices (area-based) - replace with official price
148 × 210 mm,Standard,1,Safety Posters,Solas card (double sided),104000,4.00,ESTIMATE from website prices (area-based) - replace with official price
150 × 250 mm,Outdoor,1,Lifesaving Signs (LSS/LSA),Lifejackets under seats,960000,36.94,ESTIMATE from website prices (area-based) - replace with official price
150 × 250 mm,Standard,1,Lifesaving Signs (LSS/LSA),Lifejackets under seats,132000,5.08,ESTIMATE from website prices (area-based) - replace with official price
200 × 100 mm,Outdoor,1,Fire-Fighting Equipment Signs (FES / FFE),Fire blanket point,690000,26.54,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
200 × 100 mm,Standard,1,Fire-Fighting Equipment Signs (FES / FFE),Fire blanket point,74000,2.85,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
300 × 120 mm,Outdoor,1,Hazard Signs,Hazard labelling symbol - Orange UN. No. panel,910000,35.01,ESTIMATE from website prices (area-based) - replace with official price
300 × 120 mm,Standard,1,Hazard Signs,Hazard labelling symbol - Orange UN. No. panel,125000,4.81,ESTIMATE from website prices (area-based) - replace with official price
300 × 150 mm,Outdoor,1,General Shipboard / Port & Leisure Signs,Security level indicator,1080000,41.54,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
300 × 150 mm,Standard,1,General Shipboard / Port & Leisure Signs,Security level indicator,165000,6.35,"pre-filled from website price for this size (1 SKUs); 1 other price(s) also used on the site - check"
300 × 350 mm,Outdoor,1,General Shipboard / Port & Leisure Signs,This vessel is under CCTV surveillance,1680000,64.64,ESTIMATE from website prices (area-based) - replace with official price
300 × 350 mm,Standard,1,General Shipboard / Port & Leisure Signs,This vessel is under CCTV surveillance,230000,8.85,ESTIMATE from website prices (area-based) - replace with official price
300 × 400 mm,Outdoor,1,Combination Signs,ISPS security notice,1820000,70.03,ESTIMATE from website prices (area-based) - replace with official price
300 × 400 mm,Standard,1,Combination Signs,ISPS security notice,250000,9.62,ESTIMATE from website prices (area-based) - replace with official price
420 × 297 mm,Outdoor,1,Safety Posters,Williamson turn,1870000,71.95,ESTIMATE from website prices (area-based) - replace with official price
420 × 297 mm,Standard,1,Safety Posters,Williamson turn,256000,9.85,ESTIMATE from website prices (area-based) - replace with official price
500 × 250 mm,Outdoor,1,Prohibition Signs (PSS),Restricted area authorised personnel only,1880000,72.34,ESTIMATE from website prices (area-based) - replace with official price
500 × 250 mm,Standard,1,Prohibition Signs (PSS),Restricted area authorised personnel only,257000,9.89,ESTIMATE from website prices (area-based) - replace with official price
600 × 1000 mm,Outdoor,1,Combination Signs,Warning dangerous cargo-gangway notice,6490000,249.72,ESTIMATE from website prices (area-based) - replace with official price
600 × 1000 mm,Standard,1,Combination Signs,Warning dangerous cargo-gangway notice,890000,34.25,ESTIMATE from website prices (area-based) - replace with official price
